src_ip,dest_ip,pkt_size,time_diff,original_class
,,767,0.000849000000016531,regular http traffic
,,793,0.0003999999998995918,regular http traffic
,,262,0.09000500000001921,regular http traffic
,,262,0.00039899999956105603,regular http traffic
,,1029,0.1700280000004568,regular http traffic
,,294,0.015825000000404543,regular http traffic
,,108,469.75355599999966,regular http traffic
,,108,0.00015100000018719584,regular http traffic
,,108,0.00044799999977840343,regular http traffic
,,108,0.00025099999947997276,regular http traffic
,,96,0.00019800000063696643,regular http traffic
,,108,0.00029999999969732016,regular http traffic
,,87,0.006040000000211876,regular http traffic
,,223,0.01762799999960407,regular http traffic
,,423,0.0030390000001716544,regular http traffic
,,478,0.2559400000000096,regular http traffic
,,90,0.007687999999689055,regular http traffic
,,108,4.71668900000077,regular http traffic
,,108,0.0004489999992074445,regular http traffic
,,97,0.002945000000181608,regular http traffic
,,112,0.004044000000249071,regular http traffic
,,97,0.002996000000166532,regular http traffic
,,97,0.0015459999995073304,regular http traffic
,,112,0.004595000000335858,regular http traffic
,,97,0.005428999999821826,regular http traffic
,,112,0.008746999999857508,regular http traffic
,,252,0.041533000000526954,regular http traffic
,,90,0.021665000000211876,regular http traffic
,,90,0.03816799999913201,regular http traffic
,,90,5.023818000000574,regular http traffic
,,90,0.008885999999620253,regular http traffic
,,90,0.009485000000495347,regular http traffic
,,90,0.0069379999995362596,regular http traffic
,,143,0.005291999999826658,regular http traffic
,,280,0.003666000000521308,regular http traffic
,,262,35.12856800000009,regular http traffic
,,277,0.00014999999984866008,regular http traffic
,,262,1.9999999494757503e-05,regular http traffic
,,260,0.00023500000042986358,regular http traffic
,,250,2.8000000384054147e-05,regular http traffic
,,267,0.00021799999922222923,regular http traffic
